Parameter,Category,Description,Comments,Extra Flash Consumption,GCODE Modifier,HTMPMOVE,HTMP1-1,MP2-1,MP2-2,HTMP1-0,OVEN,HTPRUSA,MP2-0,,
e_enable_on,steppers,Inverting enable pin,,,,0,0,0,,0,,,,,
invert_x_dir,steppers,Make stepper move backwards,,,,false,false,true,,true,,,,,
invert_y_dir,steppers,Make stepper move backwards,,,,false,false,false,,false,,,,,
invert_z_dir,steppers,Make stepper move backwards,,,,false,false,false,,false,,,,,
extruders,extruder,Physical nozzle count,,,,0,1,1,,1,,,,,
default_nominal_filament_dia,extruder,Diameter of filament (mm),,,,1.75,1.75,1.75,,1.75,,,,,
singlenozzle,extruder-type,Defines and normal printer,Select only one of nozzle types,,,off,off,off,,off,,,,,
mmu_model,extruder-type,Defines a printer that can switch filaments during print,Select only one of nozzle types,,,off,off,off,,off,,,,,
switching_extruder,extruder-type,Defines a printer with dual extruder and single stepper,Select only one of nozzle types,,,off,off,off,,off,,,,,
switching_nozzle,extruder-type,Defines a printer with two nozzles that move up/down,Select only one of nozzle types,,,off,off,off,,off,,,,,
parking_extruder,extruder-type,Defines a printer with two x-carriages,Select only one of nozzle types,,,off,off,off,,off,,,,,
magnetic_parking_extruder,extruder-type,"Same as parking, with magnetic powers",Select only one of nozzle types,,,off,off,off,,off,,,,,
switching_toolhead,extruder-type,"Swappable toolheads, such as E3D Tool Changer",Select only one of nozzle types,,,off,off,off,,off,,,,,
magnetic_switching_toolhead,extruder-type,"Same as switching toolhead, with magnetic powers",Select only one of nozzle types,,,off,off,off,,off,,,,,
electromagnetic_switching_toolhead,extruder-type,"Same as parking, with electromagnetic powers",Select only one of nozzle types,,,off,off,off,,off,,,,,
mixing_extruder,extruder-type,A mixing hotend with multiple inputs,Select only one of nozzle types,,,off,on,on,,on,,,,,
mixing_steppers,extruder,"Number of motors driving mixing, requires mixing_extruder",Set to the number for the printer,,,off,3,4,,3,,,,,
direct_mixing_in_g1,extruder,Allow ABCD… callouts in G1 and M165,,,,off,on,on,,on,,,,,
mixer_normalizer_debug,extruder,Print extra info during mixing commands,,,,off,on,on,,on,,,,,
disable_e,extruder,Disables e axis if not used,Keep them active to prevent pressure issues,,,false,false,false,,false,,,,,
psu_control,powersupply,Enables controlling power of printer through PSU,We do not use this ,,,off,off,off,,off,,,,,
psu_name,powersupply,Gives a name if used,,,,off,off,off,,off,,,,,
temp_sensor_0,temperatures,Pimary hotend temperatures sensor,"5 = standard, 1047 = PT1000, 67 = SliceEngineering450C, -5 = PT100x Port",,,1047,67,5,,1047,,,,,
max31865_sensor_ohms_0,temperatures,Sensor ohms is using a PT100/1000 port,Requires temp_sensor_0 = -5. Only on BTT Octopus Pro motherboards for now,,,off,off,off,,,,,,,
max31865_calibration_ohms_0,temperatures,Reader chip calibration value,Comes from motherboard specifications,,,off,off,off,,,,,,,
temp_sensor_1,temperatures,Second hotend temperature sensor,"Only if second carriage, 0 = off",,,0,0,0,,0,,,,,
temp_sensor_bed,temperatures,Bed temperature sensor,1 = standard Prusa bed,,,0,1,1,,1,,,,,
temp_sensor_redundant,temperatures,Configure to use a redundant sensor,"0 = off, use number of sensor type to enable",,,0,0,0,,0,,,,,
temp_sensor_redundant_source,temperatures,What port the reduntant sensor is plugged into,Will disable that port's regular use,,,off,off,E1,,,,,,,
temp_sensor_redundant_target,temperatures,What port the reduntant sensor is checking,,,,off,off,E0,,,,,,,
temp_sensor_redundant_max_diff,temperatures,Max delta °C difference between sensors to trigger abort,Small difference = more sensitive to temp issues,,,off,off,10,,,,,,,
dummy_thermistor_998_value,temperatures,Tells printer a constant temp if sensor is set to 998,DO NOT USE SENSOR 998 IN DEPLOYMENT,,,off,off,25,,25,,,,,
dummy_thermistor_999_value,temperatures,Tells printer a constant temp if sensor is set to 999,DO NOT USE SENSOR 999 IN DEPLOYMENT,,,off,off,100,,100,,,,,
temp_residency_time,temperatures,"How many seconds to wait for hotend to ""settle""",High numbers ensure settle but can lock the printer,,,3,3,3,,3,,,,,
temp_window,temperatures,How far from target temp to reset timer for heatup error checking,We want to get close enough,,,1,1,1,,1,,,,,
temp_hysteresis,temperatures,"Acceptable proximity for ""close enough' to target","Don't set too large, but allow some wiggle room",,,5,2,5,,5,,,,,
temp_bed_residency_time,temperatures,See temp_residency_time,,,,10,10,10,,10,,,,,
temp_bed_window,temperatures,See temp_window,,,,1,1,1,,1,,,,,
temp_bed_hysteresis,temperatures,See temp_hysteresis,,,,3,2,3,,3,,,,,
heater_0_mintemp,temperatures,Kills printer if sensor reads below this value ,Usually indicates a broken wire,,,15,15,15,,15,,,,,
heater_0_maxtemp,temperatures,Kills printer if sensor reads above this value,A broken sensor or extreme overheating,,,400,415,240,,415,,,,,
bed_mintemp,temperatures,See heater_0_mintemp,,,,12,12,12,,5,,,,,
bed_maxtemp,temperatures,See heater_0_maxtemp,,,,170,170,120,,130,,,,,
hotend_overshoot,temperatures,Range of overshoot above target allowed to prevent shutdown,Maximum target temp = maxtemp-overshoot,,,5,2,5,,10,,,,,
bed_overshoot,temperatures,See hotend_overshoot,,,,5,3,5,,10,,,,,
pidtemp,pid,Enables PID for hotend,Disable to use BangBang control,,,on,on,on,,on,,,,,
bang_max,pid,Maximum current in BangBang mode,"0 = no current, 255 = full current",,,255,255,255,,255,,,,,
pid_max,pid,Maximum current in PID mode,"0 = no current, 255 = full current",,,BANG_MAX,BANG_MAX,BANG_MAX,,BANG_MAX,,,,,
pid_k1,pid,Smoothing factor for PID looping control,Pretty much always 0.95,,,0.95,0.95,0.95,,0.95,,,,,
default_kp,pid,P value loaded on printer start,"Set a value, use the tuner by machine, then rebuild firmware with tuned value",,,167.24,167.24,167.24,,14.9509,,,,,
default_ki,pid,I value loaded on printer start,"Set a value, use the tuner by machine, then rebuild firmware with tuned value",,,23.6215,23.6215,23.6215,,0.4130,,,,,
default_kd,pid,D value loaded on printer start,"Set a value, use the tuner by machine, then rebuild firmware with tuned value",,,296.015,296.015,296.015,,135.35057,,,,,
pidtempbed,pid,Enables PID for bed,"Disable to use BangBang control, use PID if printer has relay only!",,,on,on,on,,on,,,,,
bed_limit_switching,pid,Enable for hysteresis control of bed instead of PID,Basically bang-bang,,,off,off,off,,off,,,,,
max_bed_power,pid,Maximum current to bed,"0 = no current, 255 = full current",,,255,255,255,,255,,,,,
default_bedkp,pid,P value loaded on printer start,"Set a value, use the tuner by machine, then rebuild firmware with tuned value",,,33.552,33.552,33.552,,33.5520,,,,,
default_bedki,pid,I value loaded on printer start,"Set a value, use the tuner by machine, then rebuild firmware with tuned value",,,1.7189,1.7189,1.7189,,1.7189,,,,,
default_bedkd,pid,D value loaded on printer start,"Set a value, use the tuner by machine, then rebuild firmware with tuned value",,,436.6235,436.6235,436.6235,,436.6235,,,,,
pid_edit_menu,lcd-menu,Enables a MARLIN menu for editing PID,Only relevant if printer will have accessible Marlin mode,700,,on,on,on,,on,,,,,
pid_autotune_menu,lcd-menu,Enables a MARLIN menu for autotuning PID,"Achievable through GCODE too, requires accessible Marlin mode",250,,on,on,on,,on,,,,,
prevent_cold_extrusion,safety,Prevents moving extruder below temp,See extrude_mintemp,,M302,on,on,on,,on,,,,,
extrude_mintemp,safety,Minimum temperature to allow extrusion,Printer must still be at target temp. This is lowest target to allow E motion,,,170,170,170,,170,,,,,
prevent_lengthy_extrude,safety,Ignores large deltaEmm in a GCODE command,"Because of the x7 multiplier, this has potential to be triggered on small moves",,,off,off,off,,off,,,,,
extrude_maxlength,safety,Longest single deltaEmm allowed in a move ,Requires prevent_lengthy_extrude,,,(X_MAX_LENGTH + Y_MAX_LENGTH),(X_MAX_LENGTH + Y_MAX_LENGTH),(X_MAX_LENGTH + Y_MAX_LENGTH),,(X_MAX_LENGTH + Y_MAX_LENGTH),,,,,
thermal_protection_hotends,safety,Thermal Runaway and Heating Failed checks,Should never be off,,,on,on,on,,on,,,,,
thermal_protection_bed,safety,Thermal Runaway and Heating Failed checks,Should never be off,,,on,on,on,,on,,,,,
thermal_protection_chamber,safety,Thermal Runaway and Heating Failed checks,Should never be off,,,on,on,on,,on,,,,,
thermal_protection_cooler,safety,Thermal Runaway and Heating Failed checks,Should never be off,,,on,on,on,,on,,,,,
corexy,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
corexz,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
coreyz,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
coreyx,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
corezx,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
corezy,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
markforged_xy,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
markforged_yx,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
beltprinter,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
polargraph,kinematics,"See configuration.h for details, more options available and should be added if needed",Only select 1 from kinematics,,,off,off,off,,,,,,,
delta,kinematics,"See configuration.h for details, more options available and should be added if needed",Only select 1 from kinematics,,,off,off,off,,,,,,,
morgan_scara,kinematics,"See configuration.h for details, more options available and should be added if needed",Only select 1 from kinematics,,,off,off,off,,,,,,,
mp_scara,kinematics,"See configuration.h for details, more options available and should be added if needed",Only select 1 from kinematics,,,off,off,off,,,,,,,
axel_tpara,kinematics,"See configuration.h for details, more options available and should be added if needed",Only select 1 from kinematics,,,off,off,off,,,,,,,
polar,kinematics,"See configuration.h for details, more options available and should be added if needed",Only select 1 from kinematics,,,off,off,off,,,,,,,
articulated_robot_arm,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
foamcutter_xyuv,kinematics,See configuration.h for details,Only select 1 from kinematics,,,off,off,off,,,,,,,
endstoppullups,endstops,Prevents floating state on all axes by pullup,"If off, can add parameters by axis, see endstoppullup_ymin and more",,,off,off,on,,on,,,,,
endstoppullup_xmin,endstops,Prevents floating state on only this axis,Not required if endstoppullups is on,,,on,on,,,,,,,,
endstoppullup_ymin,endstops,Prevents floating state on only this axis,Not required if endstoppullups is on,,,on,on,on,,,,,,,
endstoppullup_zmin,endstops,Prevents floating state on only this axis,Not required if endstoppullups is on,,,off,off,on,,,,,,,
endstoppullup_zmin_probe,endstops,Prevents floating state on only this axis,Not required if endstoppullups is on,,,off,off,on,,,,,,,
endstoppullup_xmax,endstops,Prevents floating state on only this axis,Not required if endstoppullups is on,,,on,on,on,,,,,,,
endstoppullup_ymax,endstops,Prevents floating state on only this axis,Not required if endstoppullups is on,,,on,on,,,,,,,,
endstoppulldowns,endstops,Prevents floating state on all axes by pulldown,"If off, can add parameters by axis",,,off,off,off,,off,,,,,
endstoppulldown_zmin,endstops,Prevents floating state on only this axis,"Not required if endstoppulldowns is on, likely use with capacitive",,,on,on,off,,,,,,,
endstoppulldown_zmin_probe,endstops,Prevents floating state on only this axis,"Not required if endstoppulldowns is on, likely use with capacitive",,,on,on,off,,,,,,,
x_max_endstop_hit_state,endstops,Set whether high or low voltage is a hit trigger,,,,HIGH,HIGH,HIGH,,,,,,,
y_min_endstop_hit_state,endstops,Set whether high or low voltage is a hit trigger,,,,HIGH,HIGH,HIGH,,,,,,,
z_min_endstop_hit_state,endstops,Set whether high or low voltage is a hit trigger,,,,LOW,LOW,HIGH,,,,,,,
z_min_probe_endstop_hit_state,endstops,Set whether high or low voltage is a hit trigger,,,,LOW,LOW,HIGH,,,,,,,
endstop_interrupts_feature,endstops,"If pin is interrupt capable, saves CPU",None of our boards have interrupt capable pins right now,,,off,off,off,,,,,,,
endstop_noise_threshold,endstops,Enable if noise causes false triggers of endstops,"2,3,4,5,6, or 7 are acceptable values; using a capacitor is preferred",,,off,off,off,,off,,,,,
detect_broken_endstop,endstops,Safety check for endstop status,,,,on,on,on,,on,,,,,
distinct_e_factors,motion,Allows for setting factors for each E motor,NOT COMPATIBLE WITH mixing_printer,,,off,off,off,,,,,,,
default_axis_steps_per_unit,motion,How many steps is equal to 1 mm of travel,Refer to motor and belt properties,,M92,"{ 80, 80, 400 }","{ 80, 80, 400 }","{ 100, 100, 400, 419.6 }",,"{ 100, 100, 400. 419.6 }",,,,,
default_max_feedrate,motion,"Maximum speed mm/s {x,y,z,e,e1….}",,,M203,"{ 300, 300, 5}","{ 200, 200, 100}","{ 300, 300, 5, 22 }",,"{ 300, 300, 5, 22 }",,,,,
limited_max_fr_editing,motion,Put limits on M203 values,,,,off,off,off,,off,,,,,
max_feedrate_edit_values,motion,Limits of M203 if limited_max_fr_editing is on,,,,"{ 600, 600, 10}","{ 600, 600, 10}","{ 600, 600, 10, 50 }",,,,,,,
default_max_acceleration,motion,"Maximum acceleration mm/s2 {x,y,z,e,e1…}",,,M201,"{ 3000, 3000, 500}","{ 3000, 3000, 500}","{ 3000, 3000, 500, 5000 }",,"{ 3000, 3000, 500, 5000 }",,,,,
limited_max_accel_editing,motion,Put limits on M201 values,,,,off,off,off,,off,,,,,
max_accel_edit_values,motion,Limits of M201 if limited_max_accel_editing is on,,,,"{ 6000, 6000, 200}","{ 6000, 6000, 200}","{ 6000, 6000, 200, 20000 }",,,,,,,
default_acceleration,motion,Default acceleration mm/s2 used when possible,,,M204 P,3000,3000,3000,,3000,,,,,
default_retract_acceleration,motion,Default acceleration mm/s2 used when possible,,,M204 R,3000,3000,3000,,3000,,,,,
default_travel_acceleration,motion,Default acceleration mm/s2 used when possible,,,M204 T,3000,3000,3000,,3000,,,,,
classic_jerk,motion,Jerk done in classic derivative manner. Editing GCODE only valid if enabled,"We tend not to use in favor of junction_deviation_mm, which is better",,M205,off,off,off,,off,,,,,
default_ejerk,motion,Used by linear advance only,We don't use linear advance in any mixing printer,,,5.0,5.0,5.0,,5.0,,,,,
junction_deviation_mm,motion,"Distance from real junction edge, see Configuration.h for links to more details",0.053 value calculated from old Repetier FW values on original MP,,,0.053,0.053,0.053,,0.053,,,,,
jd_handle_small_segments,motion,Uses curve estimation for large angles and small segments,Should improve performance,,,on,on,on,,on,,,,,
s_curve_acceleration,motion,Follow Bezier curve for acceleration,Reduces vibration and resonance of printer,,,on,on,on,,on,,,,,
z_min_probe_uses_z_min_endstop_pin,z-probe,Use if probe has to be plugged into endstop slot rather than the probe slot on motherboard,"Common on our older printer models, like SKRs Automatically enables use_probe_for_z_homing",,,off,off,on,,on,,,,,
use_probe_for_z_homing,z-probe,Force use of probe for homing z axis,,,,on,on,on,,on,,,,,
z_min_probe_pin,z-probe,Give non-standard pin on motherboard for probe,We never plan to use this. This is safety config,,,off,off,off,,off,,,,,
probe_manually,z-probe-type,User manually probes bed,Choose only one probe type,,,off,off,off,,,,,,,
fix_mounted_probe,z-probe-type,"PINDA, capacitive, any fixed probe type",Choose only one probe type,,,on,on,on,,on,,,,,
nozzle_as_probe,z-probe-type,Nozzle touches bed,Choose only one probe type,,,off,off,off,,,,,,,
z_probe_servo_nr,z-probe-type,A probe or something on a servo,Choose only one probe type,,,off,off,off,,,,,,,
bltouch,z-probe-type,Requires bltouch,Choose only one probe type,,,off,off,off,,,,,,,
sensorless_probing,z-probe-type,Use stallguard to sense contact with bed,"Do not use - damages linear screws, Choose only one probe type",,,off,off,off,,,,,,,
nozzle_to_probe_offset,z-probe,"{x,y,z} mm from nozzle to probe. Probe right back has positive x,y values; front left has negative x,y values",The Z-value is adjusted through babystepping and saved to this value,,M581,"{ -21, 23, -0.88 }","{ -21, 23, -0.88 }","{ -21, 23, -0.88 }",,"{ -21, 23, -0.88 }",,,,,
probing_tool,z-probe,Specify a specific toolhead for probing,"Bad for mixing printers, but might be needed for others",,,off,off,off,,,,,,,
probe_toolchange_no_move,z-probe,Turn off motion when deploying needed tool,Requires probing_tool,,,off,off,off,,,,,,,
probing_margin,z-probe,Force probe to stay away from bed edge,Use negative value for more nozzle probing space,,,0,0,0,,0,,,,,
xy_probe_feedrate,z-probe,X/Y mm/min between probes,,,,(133*60),(60*60),(133*60),,(133*60),,,,,
z_probe_feedrate_fast,z-probe,Z mm/min for first approach when double probe,,,,(4*60),(10*60),(4*60),,(4*60),,,,,
z_probe_feedrate_slow,z-probe,Z mm/min for more accurate probe,,,,(Z_PROBE_FEEDRATE_FAST / 2),(Z_PROBE_FEEDRATE_FAST / 2),(Z_PROBE_FEEDRATE_FAST / 2),,(Z_PROBE_FEEDRATE_FAST / 2),,,,,
probe_activation_switch,z-probe,A switch indicates proper probe deployment,More settings available if needed,,,off,off,off,,,,,,,
probe_tare,z-probe,Tare the probe prior to each use,More settings available if needed,,,off,off,off,,,,,,,
probe_enable_disable,z-probe,Probe only provies triggered signal when reay,Not needed on constant probes like PINDA or capacitive,,,off,off,off,,,,,,,
multiple_probing,z-probe,Add more probes and take average,"Total of multiple_probing and extra_probing: 2 means take average of fast and slow, 3 or more takes average of slow probes",,,2,2,2,,off,,,,,
extra_probing,z-probe,Add more probes and disregard atypical,Taking too many probes wastes your time,,,1,1,1,,off,,,,,
z_clearance_deploy_probe,z-probe,Clearance for a physically moving probe to open,Not necessary on inductive or capacative sensors,,,0,0,0,,0,,,,,
z_clearance_between_probes,z-probe,How high printer moves between probe points,"Set this higher if sensor needs distance to ""back off"" and reset",,,4,2,4,,5,,,,,
z_clearance_multi_probe,z-probe,How high printer moves between multi probe,Likely matches or is larger than z_clearance_between_probes,,,1,4,1,,5,,,,,
z_after_probing,z-probe,How high printer moves after all probes,,,,Z_AFTER_HOMING,Z_AFTER_HOMING,Z_AFTER_HOMING,,Z_AFTER_HOMING,,,,,
z_probe_low_point,z-probe,"If z goes below this, trigger error","Uses last known 0 position or assumes highest z for a fresh printer reboot. May not trigger after restart, so use caution on first homes",,,-1,-1,-1,,-1,,,,,
probe_offset_zmin,z-probe,Lowest z probe offset allowed,,,,-20,-20,-20,,-20,,,,,
probe_offset_zmax,z-probe,Highest z probe offset allowed,,,,20,20,20,,20,,,,,
z_min_probe_repeatability_test,z-probe,Enables code to test probe repeatability,,,M48,on,on,on,,on,,,,,
pause_before_deploy_stow,z-probe,Wait for user confirm when stow/deploy,,,,off,off,off,,,,,,,
probing_heaters_off,z-probe,Turn off heaters for each probing,Intended to reduce electrical noise,,,off,off,off,,off,,,,,
probing_fans_off,z-probe,Turn off fans for each probing,Intended to reduce electrical noise,,,off,off,off,,,,,,,
probing_esteppers_off,z-probe,Turn e motors off for probing,Intended to reduce electrical noise,,,off,off,off,,off,,,,,
probing_steppers_off,z-probe,Turn all unecessary steppers off when probing,Intended to reduce electrical noise,,,off,off,off,,off,,,,,
delay_before_probing,z-probe,ms to prevent vibration triggering physcial sensor,,,,off,off,off,,off,,,,,
preheat_before_probing,z-probe,Require min temps to probe,,,,off,off,off,,off,,,,,
probing_nozzle_temp,z-probe,Requires preheat_before_probing,,,,120,120,120,,,,,,,
probing_bed_temp,z-probe,Requires preheat_before_probing,,,,50,50,50,,,,,,,
x_enable_on,steppers,For inverting stepper enable pins (0:low),,,,0,0,0,,0,,,,,
y_enable_on,steppers,For inverting stepper enable pins (0:low),,,,0,0,0,,0,,,,,
z_enable_on,steppers,For inverting stepper enable pins (0:low),,,,0,0,0,,0,,,,,
e_enable_on,steppers,For inverting stepper enable pins (0:low),Affects all extruder motors,,,0,0,0,,0,,,,,
disable_x,steppers,Turn off stepper immediately when not in use,Never a good reason to do this,,,off,off,off,,false,,,,,
disable_y,steppers,Turn off stepper immediately when not in use,Never a good reason to do this,,,off,off,off,,false,,,,,
disable_z,steppers,Turn off stepper immediately when not in use,Never a good reason to do this,,,off,off,off,,false,,,,,
disable_reduced_accuracy_warning,steppers,Turn off warning about lost accuracy,We like warnings,,,off,off,off,,off,,,,,
disable_e,steppers,Turn off extruder when inactive,Could allow for back-pressure issues,,,off,off,off,,off,,,,,
disable_other_extruders,steppers,Turn off unused extuder motors,Could allow for back-pressure issues,,,off,off,off,,,,,,,
invert_e0_dir,steppers,Make stepper move backwards,Can set for each e# motor,,,off,off,off,,false,,,,,
no_motion_before_homing,homing,Require homing to be first motion,We sometimes require moving before homing,,,off,off,off,,off,,,,,
home_after_deactivate,homing,Require a stepper to home after deactivation,Good to prevent errors,,,on,on,on,,off,,,,,
z_idle_height,homing,Enable and set position for z if it moves when its steppers are disabled,"low = nozzle falls onto bed, high = bed falls away from nozzle",,,off,off,off,,off,,,,,
z_clearance_for_homing,homing,Minimal z required for homing to avoid collision,Should have this much clearance above z_max_pos to prevent vertical collision on Prusa-Framed printers,,,5,5,5,,,,,,,
z_after_homing,homing,"If z was homed, where should it move to (mm)",,,,10,10,10,,1,,,,,
x_home_dir,homing,Which direction to home to ,"1 = max, -1 = min",,,-1,-1,1,,1,,,,,
y_home_dir,homing,Which direction to home to ,"1 = max, -1 = min",,,1,1,-1,,-1,,,,,
z_home_dir,homing,Which direction to home to ,"1 = max, -1 = min",,,-1,-1,-1,,-1,,,,,
x_safety_stop,homing,Add a second endstop on other side for collision detection,Can add for all axes,,,off,off,off,,,,,,,
x_bed_size,geometry,Printable area of the physical bed,,,,190,270,190,,210,,,,,
y_bed_size,geometry,Printable area of the physical bed,,,,215,350,215,,180,,,,,
x_min_pos,geometry,Motion limit corresponding to endstop,These numbers set limit on motion,,,-20,-250,0,,0,,,,,
y_min_pos,geometry,Motion limit corresponding to endstop,These numbers set limit on motion,,,-20,0,0,,0,,,,,
z_min_pos,geometry,Motion limit corresponding to endstop,These numbers set limit on motion,,,0,0,0,,0,,,,,
x_max_pos,geometry,Motion limit corresponding to endstop,These numbers set limit on motion,,,210,(X_BED_SIZE + 150),X_BED_SIZE,,X_BED_SIZE,,,,,
y_max_pos,geometry,Motion limit corresponding to endstop,These numbers set limit on motion,,,235,(Y_BED_SIZE + 130),Y_BED_SIZE,,Y_BED_SIZE,,,,,
z_max_pos,geometry,Motion limit corresponding to endstop,These numbers set limit on motion,,,140,350,140,,140,,,,,
min_software_endstops,geometry,Prevent moving outside coordinate bounds,Can enable by-axis if needed,,M211,on,on,on,,on,,,,,
max_software_endstops,geometry,Prevent moving outside coordinate bounds,Can enable by-axis if needed,,M211,on,on,on,,on,,,,,
soft_endstops_menu_item,lcd-menu,Enable menu on Marlin mode for editing endstops,,,,on,on,on,,on,,,,,
filament_runout_sensor,safety,Enables the sensor,"Requires a lot of configs, see configuration.h",,,off,off,off,,off,,,,,
auto_bed_leveling_3point,bed-level-type,See configuration.h for details,Choose only one leveling type,,,off,off,off,,off,,,,,
auto_bed_leveling_linear,bed-level-type,See configuration.h for details,Choose only one leveling type,,,off,off,off,,off,,,,,
auto_bed_leveling_bilinear,bed-level-type,See configuration.h for details,Choose only one leveling type,,,off,off,off,,off,,,,,
auto_bed_leveling_ubl,bed-level-type,See configuration.h for details,"The most complete of all, we use this",,,on,on,on,,on,,,,,
mesh_bed_leveling,bed-level-type,See configuration.h for details,Choose only one leveling type,,,off,off,off,,off,,,,,
restore_leveling_after_g28,bed-level,Restore leveling state before homing,Choose only to restore or enable,,,on,on,on,,off,,,,,
enable_leveling_after_g28,bed-level,Automatically turn on leveling after home,Choose only to restore or enable,,,off,off,off,,off,,,,,
preheat_before_leveling,bed-level,Require min temps to level,,,,on,on,on,,on,,,,,
leveling_nozzle_temp,bed-level,Min nozzle temp to level,,,,0,100,0,,0,,,,,
leveling_bed_temp,bed-level,Min bed temp to level,,,,60,100,60,,60,,,,,
bd_sensor,bed-level,Enables the Bed Distance Sensor,Currently no printer uses,,,off,off,off,,off,,,,,
debug_leveling_feature,bed-level,Give details during all home/probe commands,Generally not needed,A LOT!,M111,off,off,off,,,,,,,
manual_probe_start_z,bed-level,Shim height for tuning points on bed,Use a shim height,,,0.2,0.2,0.2,,0.2,,,,,
enable_leveling_fade_height,bed-level,Fade height to stop using the bed mesh,Should be lower than printed part height,,M420,on,on,on,,on,,,,,
default_leveling_fade_height,bed-level,Requires feature to be enabled,,,,1.0,1.0,1.0,,1.0,,,,,
segment_leveled_moves,bed-level,Breaks moves into small segments instead of on mesh borders for better motion,,,,on,on,on,,on,,,,,
leveled_segment_length,bed-level,"Length of segments, mm",,,,5.0,5.0,5.0,,5.0,,,,,
g26_mesh_validation,bed-level,A tool for checking bed mesh accuracy,Really bad on MP because of extrusion rates. More settings available if desired,,,off,off,off,,off,,,,,
mesh_edit_gfx_overlay,bed-level,Display graphic overlay when editing mesh,,,,off,off,on,,on,,,,,
mesh_inset,bed-level,Set bounds as an inset region of bed,Avoid edges of bed basically,,,0,0,0,,0,,,,,
grid_max_points_x,bed-level,Don't use more than 15 pts/axis,,,,15,15,15,,15,,,,,
